"","Site_ID","Site_Name","Conc_Name","Month","Season","Year","CH4_uM","CO2_uM","N2O_uM","Tw","Cond_uScm","pH","DO_mgL","Chla_ugL","Salinity_PSU","TSS_mgL","NO3_uM","NH4_uM","TN_uM","SRP_uM","TP_uM","DOC_uM","POC_uM","DIC_uM","SUVA254","Ageof14CO2_yrBP","Ageof14CH4_yrBP","Diff_CH4_mmolm2d","Eb_CH4_mmolm2d","Storf_CH4","IBSf_CH4","Total_CH4_mmolm2d","Diff_CO2_mmolm2d","Eb_CO2_mmolm2d","CO2_mmolm2d","N2O_mmolm2d","Lake_name","Hylak_id","WaterType","Region","Country","Cryozone","Ecozone","Latitude","Longitude","Elevation_m","Surface_area_km2","Depth_max_m","Depth_mean_m","Trophic_status","Icefree_days_peryr","MAT","MAP","sizeclass2","sizeclass10","sizeclass5","depthclass","depthclass10","ikt"
"268",15278,"BZ-94","BZ-94","July","Summer","2016",1.61,240,NA,16.1,22,5.86,7.2,NA,NA,NA,NA,NA,NA,NA,NA,1716.66666666667,NA,129.166666666667,NA,NA,NA,1.04,NA,NA,NA,NA,158,NA,158,NA,"BZ-94",NA,"TKL","Siberia","Russia","S","Tundra",67.5441,55.1519,80,0.001307,NA,0.5,NA,NA,-4.23333331942559,465,"medium_pond","medium_pond","medium_pond",NA,NA,0.619712414235899
"269",15279,"BZ-95","BZ-95","July","Summer","2016",4.68,235,NA,16.5,22,6.07,8.1,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,155,NA,NA,NA,3.09,NA,NA,NA,NA,157,NA,157,NA,"BZ-95",NA,"Pond","Siberia","Russia","S","Tundra",67.5475,55.1553,83,0.000657,NA,0.7,NA,NA,-4.23333331942559,465,"medium_pond","small_pond","medium_pond",NA,NA,0.675116297039622
"270",15280,"BZ-96","BZ-96","July","Summer","2016",21.7,800,NA,17.2,41,6.05,6.8,NA,NA,NA,NA,NA,NA,NA,NA,1183.33333333333,NA,365,NA,NA,NA,13.9,NA,NA,NA,NA,522,NA,522,NA,"BZ-96",NA,"Pond","Siberia","Russia","S","Tundra",67.5497,55.1514,82,0.000106,NA,0.7,NA,NA,-4.23333331942559,465,"small_pond","small_pond","small_pond",NA,NA,0.771705768114913
"271",15281,"BZ-97","BZ-97","July","Summer","2016",25.1,912,NA,16.4,27,5.44,5,NA,NA,NA,NA,NA,NA,NA,NA,1241.66666666667,NA,245,NA,NA,NA,15.3,NA,NA,NA,NA,564,NA,564,NA,"BZ-97",NA,"Pond","Siberia","Russia","S","Tundra",67.5501,55.1518,83,2.86e-05,NA,0.4,NA,NA,-4.23333331942559,463,"small_pond","small_pond","small_pond",NA,NA,0.661279677197641
"272",15282,"BZ-98","BZ-98","July","Summer","2016",5.65,165,NA,17.1,22,6.2,9.2,NA,NA,NA,NA,NA,NA,NA,NA,1283.33333333333,NA,133.333333333333,NA,NA,NA,4.1,NA,NA,NA,NA,122,NA,122,NA,"BZ-98",NA,"TKL","Siberia","Russia","S","Tundra",67.5511,55.1565,85,0.105375,NA,0.8,NA,NA,-4.23333331942559,463,"small_lake","small_lake","small_lake",NA,NA,0.757935796269479
"273",15283,"BZ-99","BZ-99","July","Summer","2016",0.66,304,NA,18.5,43.2,6.73,10.2,NA,NA,NA,NA,NA,NA,NA,NA,1608.33333333333,NA,378.333333333333,NA,NA,NA,0.32,NA,NA,NA,NA,151,NA,151,NA,"BZ-99",NA,"TKL","Siberia","Russia","S","Tundra",67.5675,55.2373,96,0.066449,NA,1,NA,NA,-4.34166676302751,464,"small_lake","pond","small_lake",NA,NA,0.949856106759796
"274",15284,"BZ-101","BZ-101","July","Summer","2016",1.23,207,NA,21,32,6.33,8.5,NA,NA,NA,NA,NA,NA,NA,NA,1975,NA,180.833333333333,NA,NA,NA,0.62,NA,NA,NA,NA,106,NA,106,NA,"BZ-101",NA,"TKL","Siberia","Russia","S","Tundra",67.5656,55.2258,96,0.007019,NA,1.2,NA,NA,-4.3000000466903,461,"pond","medium_pond","pond",NA,NA,1.28802704796942
"275",15285,"BZ-102","BZ-102","July","Summer","2016",2.62,361,NA,21.3,48.7,6.49,10.8,NA,NA,NA,NA,NA,NA,NA,NA,1908.33333333333,NA,451.666666666667,NA,NA,NA,1.33,NA,NA,NA,NA,187,NA,187,NA,"BZ-102",NA,"TKL","Siberia","Russia","S","Tundra",67.567,55.2195,96,0.021694,NA,NA,NA,NA,-4.32500003278255,461,"small_lake","pond","pond",NA,NA,1.32822167048752
"276",15286,"BZ-103","BZ-103","July","Summer","2016",3.46,573,NA,20.5,74,6.75,8,NA,NA,NA,NA,NA,NA,NA,NA,1433.33333333333,NA,858.333333333333,NA,NA,NA,1.73,NA,NA,NA,NA,335,NA,335,NA,"BZ-103",NA,"TKL","Siberia","Russia","S","Tundra",67.5651,55.2128,96,0.002504,NA,0.3,NA,NA,-4.26666662593683,461,"pond","medium_pond","medium_pond",NA,NA,1.22085350463294
"277",15287,"BZ-104","BZ-104","July","Summer","2016",0.27,133,NA,20.7,24,6.47,7.9,NA,NA,NA,NA,NA,NA,NA,NA,2075,NA,100.833333333333,NA,NA,NA,0.13,NA,NA,NA,NA,68,NA,68,NA,"BZ-104",NA,"TKL","Siberia","Russia","S","Tundra",67.5687,55.1936,96,0.004399,NA,1.2,NA,NA,-4.34166674315929,466,"pond","medium_pond","medium_pond",NA,NA,1.24775035373612
"278",15290,"t 357","t 357","June","Spring","2017",1.2,315,NA,20.3,NA,4.03,4,NA,NA,NA,NA,NA,NA,NA,NA,5466.66666666667,NA,112.5,NA,NA,NA,2.04,NA,NA,NA,NA,543,NA,543,NA,"t 357",NA,"Pond","Siberia","Russia","S","Tundra",67.6184,53.9044,39,2e-07,NA,0.1,NA,NA,-3.65833332141241,462,"small_pond","small_pond","small_pond",NA,NA,1.1939199925901
"279",15291,"t 358","t 358","June","Spring","2017",0.1,290,NA,21.9,88.7,3.68,10.4,NA,NA,NA,NA,NA,NA,NA,NA,8333.33333333333,NA,117.5,NA,NA,NA,0.12,NA,NA,NA,NA,366,NA,366,NA,"t 358",NA,"Pond","Siberia","Russia","S","Tundra",67.6182,53.9044,39,1.7e-06,NA,0.2,NA,NA,-3.65833332141241,462,"small_pond","small_pond","small_pond",NA,NA,1.40836570176153
"280",15292,"t 361","t 361","June","Spring","2017",1.46,269,NA,17.9,66.9,3.7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,3766.66666666667,NA,135,NA,NA,NA,0.69,NA,NA,NA,NA,130,NA,130,NA,"t 361",NA,"Pond","Siberia","Russia","S","Tundra",67.6147,53.9084,38,6.9e-06,NA,0.2,NA,NA,-3.62499997206033,463,"small_pond","small_pond","small_pond",NA,NA,0.867830627406981
"281",15293,"BZ 22-17  (364)","BZ 22-17  (364)","June","Spring","2017",17.2,223,NA,4.5,13,7.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,566.666666666667,NA,142.5,NA,NA,NA,13.3,NA,NA,NA,NA,173,NA,173,NA,"BZ 22-17  (364)",NA,"TKL","Siberia","Russia","D","Tundra",67.612,58.8382,122,0.197052,NA,NA,NA,NA,-5.17500017086665,445,"small_lake","small_lake","small_lake",NA,NA,-1.0564421147354
"282",15294,"BZ 23-17 (365)","BZ 23-17 (365)","June","Spring","2017",4.2,155,NA,16.9,14.4,5.8,10,NA,NA,NA,NA,NA,NA,NA,NA,1125,NA,120,NA,NA,NA,5.22,NA,NA,NA,NA,195,NA,195,NA,"BZ 23-17 (365)",NA,"TKL","Siberia","Russia","S","Tundra",67.6118,53.8489,32,0.009761,NA,NA,NA,NA,-3.54999994424482,459,"pond","medium_pond","pond",NA,NA,0.730367367892839
"283",15295,"BZ 2-17","BZ 2-17","July","Summer","2017",0.37,43,NA,26.6,59,3.8,7.6,NA,NA,NA,NA,NA,NA,NA,NA,3658.33333333333,NA,82.5,NA,NA,NA,0.28,NA,NA,NA,NA,34,NA,34,NA,"BZ 2-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6139,53.9087,37,7.5e-06,NA,0.1,NA,NA,-3.64999995628994,461,"small_pond","small_pond","small_pond",NA,NA,2.02506031972416
"285",15296,"BZ 3-17","BZ 3-17","July","Summer","2017",0.08,105,NA,23.2,94,3.43,4.8,NA,NA,NA,NA,NA,NA,NA,NA,6933.33333333333,NA,114.166666666667,NA,NA,NA,0.09,NA,NA,NA,NA,120,NA,120,NA,"BZ 3-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6135,53.9083,37,4e-07,NA,0.2,NA,NA,-3.64999995628994,461,"small_pond","small_pond","small_pond",NA,NA,1.58089780350623
"287",15297,"BZ 4-17","BZ 4-17","July","Summer","2017",13.2,307,NA,24.3,55.8,3.88,3.1,NA,NA,NA,NA,NA,NA,NA,NA,6458.33333333333,NA,232.5,NA,NA,NA,13.8,NA,NA,NA,NA,328,NA,328,NA,"BZ 4-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6136,53.9083,37,4.4e-05,NA,0.2,NA,NA,-3.64999995628994,461,"small_pond","small_pond","small_pond",NA,NA,1.72570858303413
"289",15298,"BZ 10-17","BZ 10-17","July","Summer","2017",14.3,185,NA,27,44,4.14,4.2,NA,NA,NA,NA,NA,NA,NA,NA,3425,NA,70.8333333333333,NA,NA,NA,12.5,NA,NA,NA,NA,166,NA,166,NA,"BZ 10-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6178,53.9087,39,0.000138,NA,0.1,NA,NA,-3.65833332141241,462,"small_pond","small_pond","small_pond",NA,NA,2.07665317493623
"290",15299,"BZ 11-17","BZ 11-17","July","Summer","2017",30.4,284,NA,27,45.8,4.6,4.6,NA,NA,NA,NA,NA,NA,NA,NA,3891.66666666667,NA,88.3333333333333,NA,NA,NA,26.8,NA,NA,NA,NA,255,NA,255,NA,"BZ 11-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6179,53.9109,40,1.5e-06,NA,0.1,NA,NA,-3.65833332141241,462,"small_pond","small_pond","small_pond",NA,NA,2.07665317493623
"291",15300,"BZ 15-17","BZ 15-17","July","Summer","2017",1.96,186,NA,27,74.3,3.8,6.6,NA,NA,NA,NA,NA,NA,NA,NA,6441.66666666667,NA,83.3333333333333,NA,NA,NA,4.62,NA,NA,NA,NA,447,NA,447,NA,"BZ 15-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6136,53.8416,32,3.8e-06,NA,0.1,NA,NA,-3.55833322989443,459,"small_pond","small_pond","small_pond",NA,NA,2.07665317493623
"293",15301,"BZ 16-17","BZ 16-17","July","Summer","2017",0.95,179,NA,28,67,3.8,8,NA,NA,NA,NA,NA,NA,NA,NA,4408.33333333333,NA,85,NA,NA,NA,0.93,NA,NA,NA,NA,180,NA,180,NA,"BZ 16-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6089,53.8378,31,3.5e-06,NA,0.1,NA,NA,-3.55833322989443,459,"small_pond","small_pond","small_pond",NA,NA,2.20503569485836
"295",15302,"BZ 17-17","BZ 17-17","July","Summer","2017",0.54,54,NA,25,56.5,3.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,4941.66666666667,NA,65.8333333333333,NA,NA,NA,0.48,NA,NA,NA,NA,49,NA,49,NA,"BZ 17-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6088,53.8377,31,8.3e-06,NA,0.2,NA,NA,-3.55833322989443,459,"small_pond","small_pond","small_pond",NA,NA,1.81730455260151
"297",15303,"BZ 18-17","BZ 18-17","July","Summer","2017",76.4,2100,NA,7,51.6,3.8,2.9,NA,NA,NA,NA,NA,NA,NA,NA,4958.33333333333,NA,179.166666666667,NA,NA,NA,63.8,NA,NA,NA,NA,1758,NA,1758,NA,"BZ 18-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6083,53.8376,31,3e-07,NA,0.2,NA,NA,-3.55833322989443,460,"small_pond","small_pond","small_pond",NA,NA,-0.683467894101639
"299",15304,"BZ 19-17","BZ 19-17","July","Summer","2017",0.73,275,NA,19,70.1,3.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,4716.66666666667,NA,89.1666666666667,NA,NA,NA,0.84,NA,NA,NA,NA,323,NA,323,NA,"BZ 19-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6082,53.8376,31,7e-07,NA,0.2,NA,NA,-3.55833322989443,460,"small_pond","small_pond","small_pond",NA,NA,1.01795330501878
"301",15305,"BZ 20-17","BZ 20-17","July","Summer","2017",1.62,141,NA,23,73.3,3.6,8.5,NA,NA,NA,NA,NA,NA,NA,NA,5616.66666666667,NA,93.3333333333333,NA,NA,NA,1.71,NA,NA,NA,NA,152,NA,152,NA,"BZ 20-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6083,53.8377,31,7.9e-06,NA,0.2,NA,NA,-3.55833322989443,460,"small_pond","small_pond","small_pond",NA,NA,1.55445299429064
"303",15306,"BZ 21-17","BZ 21-17","July","Summer","2017",2.57,119,NA,23,20,6,7.2,NA,NA,NA,NA,NA,NA,NA,NA,1250,NA,112.5,NA,NA,NA,3.27,NA,NA,NA,NA,154,NA,154,NA,"BZ 21-17",NA,"TKL","Siberia","Russia","S","Tundra",67.6082,53.8369,31,0.006348,NA,0.5,NA,NA,-3.55833322989443,460,"pond","medium_pond","pond",NA,NA,1.55445299429064
"305",15307,"BZ 22-17","BZ 22-17","July","Summer","2017",0.32,88,NA,22,17.3,6.1,7.8,NA,NA,NA,NA,NA,NA,NA,NA,933.333333333333,NA,101.666666666667,NA,NA,NA,0.61,NA,NA,NA,NA,172,NA,172,NA,"BZ 22-17",NA,"TKL","Siberia","Russia","S","Tundra",67.6098,53.8456,32,0.197052,NA,0.5,NA,NA,-3.54999994424482,459,"small_lake","small_lake","small_lake",NA,NA,1.42169136103571
"307",15308,"BZ 23-17","BZ 23-17","July","Summer","2017",2.51,87,NA,22,27.8,5.2,7.9,NA,NA,NA,NA,NA,NA,NA,NA,2941.66666666667,NA,71.6666666666667,NA,NA,NA,3.12,NA,NA,NA,NA,110,NA,110,NA,"BZ 23-17",NA,"TKL","Siberia","Russia","S","Tundra",67.6122,53.8384,31,0.009761,NA,0.5,NA,NA,-3.55833322989443,459,"pond","medium_pond","pond",NA,NA,1.42169136103571
"309",15309,"BZ 25-17","BZ 25-17","July","Summer","2017",1.64,190,NA,22,98,3.7,6.1,NA,NA,NA,NA,NA,NA,NA,NA,6858.33333333333,NA,78.3333333333333,NA,NA,NA,2.04,NA,NA,NA,NA,239,NA,239,NA,"BZ 25-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6082,53.8398,31,3.3e-06,NA,0.2,NA,NA,-3.55833322989443,460,"small_pond","small_pond","small_pond",NA,NA,1.42169136103571
"310",15310,"BZ 26-17","BZ 26-17","July","Summer","2017",3.66,174,NA,22,70.2,3.6,3.9,NA,NA,NA,NA,NA,NA,NA,NA,5625,NA,106.666666666667,NA,NA,NA,4.55,NA,NA,NA,NA,220,NA,220,NA,"BZ 26-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6081,53.8399,31,4e-07,NA,0.2,NA,NA,-3.55833322989443,460,"small_pond","small_pond","small_pond",NA,NA,1.42169136103571
"311",15311,"BZ 27-17","BZ 27-17","July","Summer","2017",1.2,36,NA,22,33,4.6,8.1,NA,NA,NA,NA,NA,NA,NA,NA,3633.33333333333,NA,61.6666666666667,NA,NA,NA,1.49,NA,NA,NA,NA,46,NA,46,NA,"BZ 27-17",NA,"TKL","Siberia","Russia","S","Tundra",67.6138,53.8446,32,0.009701,NA,0.3,NA,NA,-3.54999994424482,459,"pond","medium_pond","pond",NA,NA,1.42169136103571
"313",15312,"BZ 28-17","BZ 28-17","July","Summer","2017",0.79,66,NA,22,28.5,5.4,8.5,NA,NA,NA,NA,NA,NA,NA,NA,3466.66666666667,NA,77.5,NA,NA,NA,0.98,NA,NA,NA,NA,84,NA,84,NA,"BZ 28-17",NA,"TKL","Siberia","Russia","S","Tundra",67.6141,53.8483,32,0.007179,NA,0.3,NA,NA,-3.54999994424482,459,"pond","medium_pond","pond",NA,NA,1.42169136103571
"315",15313,"BZ 29-17","BZ 29-17","October","Autumn","2017",0.39,153,NA,4.5,58.5,3.9,11.6,NA,NA,NA,NA,NA,NA,NA,NA,2100,NA,73.3333333333333,NA,NA,NA,0.3,NA,NA,NA,NA,118,NA,118,NA,"BZ 29-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6089,53.8377,31,7.1e-06,NA,0.1,NA,NA,-3.55833322989443,459,"small_pond","small_pond","small_pond",NA,NA,-1.0564421147354
"316",15314,"BZ 30-17","BZ 30-17","October","Autumn","2017",0.13,173,NA,4.5,66,3.8,8.9,NA,NA,NA,NA,NA,NA,NA,NA,3683.33333333333,NA,92.5,NA,NA,NA,0.09,NA,NA,NA,NA,118,NA,118,NA,"BZ 30-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6084,53.8385,31,6.3e-06,NA,0.1,NA,NA,-3.55833322989443,459,"small_pond","small_pond","small_pond",NA,NA,-1.0564421147354
"317",15315,"BZ 32-17","BZ 32-17","October","Autumn","2017",0.15,843,NA,4,52.5,3.9,7.1,NA,NA,NA,NA,NA,NA,NA,NA,2108.33333333333,NA,217.5,NA,NA,NA,0.11,NA,NA,NA,NA,612,NA,612,NA,"BZ 32-17",NA,"Pond","Siberia","Russia","S","Tundra",67.6146,53.843,32,2e-06,NA,0.1,NA,NA,-3.54999994424482,459,"small_pond","small_pond","small_pond",NA,NA,-1.13184440801381
"318",15316,"BZ 1-18","BZ 1-18","July","Summer","2018",0.79,109,NA,18.4,14.9,6.89,7.5,NA,NA,NA,NA,NA,NA,NA,NA,983.333333333333,NA,70.8333333333333,NA,NA,NA,0.38,NA,NA,NA,NA,54,NA,54,NA,"BZ 1-18",NA,"TKL","Siberia","Russia","S","Tundra",67.6058,53.9094,33,0.189792,NA,NA,NA,NA,-3.61666664667428,463,"small_lake","small_lake","small_lake",NA,NA,0.936208638763659
"319",15322,"L56","L56","June","Spring","2015",7.99,NA,NA,15.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.79,13.47,NA,NA,19.25,NA,NA,NA,NA,"L56",NA,"Pond","NWT","Canada","C",NA,68.32323333,-133.84695,3,0.031,NA,1.2,NA,153,-8.7000000004967,243,"small_lake","pond","pond",NA,NA,0.497282840289166
"320",15327,"L520","L520","June","Spring","2015",3.33,NA,NA,16.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,0.86,NA,NA,3.23,NA,NA,NA,NA,"L520",NA,"TKP","NWT","Canada","C",NA,68.3136,-133.7142333,3,0.002,NA,1.9,NA,153,-8.7000000004967,243,"pond","medium_pond","medium_pond",NA,NA,0.618325353779682
"321",15334,"L280","L280","July","Summer","2014",2.08,NA,NA,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,3.3,NA,NA,4.65,NA,NA,NA,NA,"L280",NA,"TKP","NWT","Canada","C",NA,68.3208,-133.8395833,3,0.024,NA,2.3,NA,153,-8.75833341479301,238,"small_lake","pond","pond",NA,NA,0.908885597465755
"326",15131,"lake-fed ponds",NA,"August","Summer","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.50020333333333,NA,NA,NA,NA,210.7881375,NA,210.7881375,NA,"lake-fed ponds",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.3554066666667,19.0504003333333,376.666666666667,8.925e-05,NA,0.736666666666667,NA,NA,NA,NA,"small_pond","small_pond","small_pond",NA,NA,NA
"330",15139,"moss-dominated ponds",NA,"August","Summer","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64271333333333,NA,NA,NA,NA,120.935495,NA,120.935495,NA,"moss-dominated ponds",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.355642,19.0500083333333,375,0.0001905,NA,0.326666666666667,NA,NA,NA,NA,"small_pond","small_pond","small_pond",NA,NA,NA
"334",15154,"open-water ponds",NA,"August","Summer","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9021,NA,NA,NA,NA,618.484405,NA,618.484405,NA,"open-water ponds",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.3495037111111,19.0003360444444,400,0.0001953,NA,0.528,NA,NA,NA,NA,"small_pond","small_pond","small_pond",NA,NA,NA
"338",15156,"sedge-dominated ponds",NA,"August","Summer","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.02070666666667,NA,NA,NA,NA,93.097115,NA,93.097115,NA,"sedge-dominated ponds",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.3490994166666,18.9905292777777,394.25,8.963e-05,NA,0.265,NA,NA,NA,NA,"small_pond","small_pond","small_pond",NA,NA,NA
"342",15487,"Sedge-dominated pond 1","Sedge-dominated pond 1","June-October","Summer/Autumn","2015",9.50656885,224.6819229,NA,NA,NA,4.29,8.11,NA,NA,NA,NA,NA,NA,NA,NA,4227.16921166667,NA,NA,NA,NA,NA,3.47583333333333,21.1341666666667,NA,NA,24.61,86.3641666666667,NA,86.3641666666667,NA,"Sedge-dominated pond 1",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.346625,18.969453,405,2.88e-05,0.21,NA,NA,NA,-0.850000036259492,359,"small_pond","small_pond","small_pond","depth_1","depth_1",NA
"343",15488,"Sedge-dominated pond 2","Sedge-dominated pond 2","June-October","Summer/Autumn","2015",35.8459132,429.1605806,NA,NA,NA,4.16,6.93,NA,NA,NA,NA,NA,NA,NA,NA,3658.3931725,NA,NA,NA,NA,NA,10.045,2.46166666666667,NA,NA,12.5066666666667,185.375,NA,185.375,NA,"Sedge-dominated pond 2",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.34651389,18.96956667,406,6.08e-06,0.16,NA,NA,NA,-0.850000036259492,359,"small_pond","small_pond","small_pond","depth_1","depth_1",NA
"344",15489,"Sedge-dominated pond 3","Sedge-dominated pond 3","June-October","Summer/Autumn","2015",6.311747876,313.040993,NA,NA,NA,4.06,9.08,NA,NA,NA,NA,NA,NA,NA,NA,4319.82493666667,NA,NA,NA,NA,NA,1.80833333333333,7.425,NA,NA,9.23333333333333,144.98,NA,144.98,NA,"Sedge-dominated pond 3",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.34637778,18.96949444,406,2.025e-05,0.21,NA,NA,NA,-0.850000036259492,359,"small_pond","small_pond","small_pond","depth_1","depth_1",NA
"345",15490,"Open-water pond 4","Open-water pond 4","June-October","Summer/Autumn","2015",56.5756699,904.8406197,NA,NA,NA,5.78,4.07,NA,NA,NA,NA,NA,NA,NA,NA,3041.31816166667,NA,NA,NA,NA,NA,16.0958333333333,0,NA,NA,16.0958333333333,502.178333333333,NA,502.178333333333,NA,"Open-water pond 4",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.34635556,18.96827222,402,4e-05,0.66,NA,NA,NA,-0.850000036259492,359,"small_pond","small_pond","small_pond","depth_1","depth_1",NA
"346",15491,"Open-water pond 5","Open-water pond 5","June-October","Summer/Autumn","2015",90.93481366,1112.004533,NA,NA,NA,5.64,4.44,NA,NA,NA,NA,NA,NA,NA,NA,2894.492045,NA,NA,NA,NA,NA,21.4083333333333,0,NA,NA,21.4083333333333,681.051666666667,NA,681.051666666667,NA,"Open-water pond 5",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.346625,18.96844167,402,3.5e-05,0.42,NA,NA,NA,-0.850000036259492,359,"small_pond","small_pond","small_pond","depth_1","depth_1",NA
"347",15492,"Open-water pond 6","Open-water pond 6","June-October","Summer/Autumn","2015",16.07819147,865.898509,NA,NA,NA,5.76,4.34,NA,NA,NA,NA,NA,NA,NA,NA,3086.10457666667,NA,NA,NA,NA,NA,4.27166666666667,24.66,NA,NA,28.9325,478.6175,NA,478.6175,NA,"Open-water pond 6",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.346875,18.96955833,405,4.05e-05,0.79,NA,NA,NA,-0.850000036259492,359,"small_pond","small_pond","small_pond","depth_1","depth_1",NA
"348",15493,"Moss-dominated pond 12","Moss-dominated pond 12","June-October","Summer/Autumn","2015",2.561612079,67.66524503,NA,NA,NA,3.84,12.66,NA,NA,NA,NA,NA,NA,NA,NA,4049.28114833333,NA,NA,NA,NA,NA,0.486666666666667,0,NA,NA,0.486666666666667,20.3341666666667,NA,20.3341666666667,NA,"Moss-dominated pond 12",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.357184,19.050006,359,2.025e-05,0.28,NA,NA,NA,-0.741666639844579,370,"small_pond","small_pond","small_pond","depth_1","depth_1",NA
"349",15494,"Moss-dominated pond 13","Moss-dominated pond 13","June-October","Summer/Autumn","2015",5.271014254,211.3355082,NA,NA,NA,3.86,11.21,NA,NA,NA,NA,NA,NA,NA,NA,4187.73128,NA,NA,NA,NA,NA,0.830833333333333,16.1666666666667,NA,NA,16.9975,105.299166666667,NA,105.299166666667,NA,"Moss-dominated pond 13",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.356936,19.052649,359,0.00014,0.33,NA,NA,NA,-0.741666639844579,370,"small_pond","small_pond","small_pond","depth_1","depth_1",NA
"350",15495,"Sedge-dominated pond 14","Sedge-dominated pond 14","June-October","Summer/Autumn","2015",9.321864758,376.8836911,NA,NA,NA,4.09,10.87,NA,NA,NA,NA,NA,NA,NA,NA,3844.30101,NA,NA,NA,NA,NA,4.77166666666667,16.3408333333333,NA,NA,21.1125,169.484166666667,NA,169.484166666667,NA,"Sedge-dominated pond 14",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.356881,19.053603,360,3.45e-05,0.48,NA,NA,NA,-0.741666639844579,370,"small_pond","small_pond","small_pond","depth_1","depth_1",NA
"351",15496,"Lake-fed pond 15","Lake-fed pond 15","June-October","Summer/Autumn","2015",15.06456539,194.9098656,NA,NA,NA,5.86,8.32,NA,NA,NA,NA,NA,NA,NA,NA,2529.58131916667,NA,NA,NA,NA,NA,7.31166666666667,5.64083333333333,NA,NA,12.9525,225.2125,NA,225.2125,NA,"Lake-fed pond 15",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.356574,19.053398,363,8.925e-05,1.25,NA,NA,NA,-0.741666639844579,370,"small_pond","small_pond","small_pond","depth_1_5","depth_1_5",NA
"352",15497,"Lake-fed pond 16","Lake-fed pond 16","June-October","Summer/Autumn","2015",3.221355841,124.1109307,NA,NA,NA,6.17,8.5,NA,NA,NA,NA,NA,NA,NA,NA,2117.31798916667,NA,NA,NA,NA,NA,0.5975,10.715,NA,NA,11.3133333333333,54.7733333333333,NA,54.7733333333333,NA,"Lake-fed pond 16",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.35486,19.049096,383,NA,0.52,NA,NA,NA,-0.741666639844579,370,NA,NA,NA,"depth_1","depth_1",NA
"353",15498,"Lake-fed pond 17","Lake-fed pond 17","June-October","Summer/Autumn","2015",18.81014301,248.7862209,NA,NA,NA,5.89,7.18,NA,NA,NA,NA,NA,NA,NA,NA,2189.91346583333,NA,NA,NA,NA,NA,5.9225,34.3625,NA,NA,40.285,217.53,NA,217.53,NA,"Lake-fed pond 17",NA,"TKP","Scandinavian","Sweden","D","Tundra",68.354786,19.048707,384,NA,0.44,NA,NA,NA,-0.741666639844579,370,NA,NA,NA,"depth_1","depth_1",NA
